id,level,reuse_framework_category,sub_category,display_label,tooltip_definition,source_alignment,source_basis,source_title,source_url,cursor_key,notes_for_editor
main-packaging-reuse,main,Packaging Reuse,,Packaging Reuse,"Systems where packaging is kept in circulation through repeated use, return, cleaning, refilling, and redistribution.",direct/adapted,"GAIA describes packaging reuse as systems where packaging is used multiple times for the same purpose, supported by cleaning, logistics, collection, redistribution, and partnerships.",GAIA | Unpacking Reuse in Asia,https://plasticsmartcities.org/unpacking-reuse-in-asia/,packagingReuse,Use for the main category tooltip.
main-refill,main,Refill,,Refill,"Systems where people refill their own or borrowed containers, either at a refill point or at home, to avoid single-use packaging.",direct/adapted,"GAIA/ARC framing distinguishes refill from return: consumers refill reusable packaging and usually handle washing, using consumer-owned or retailer-loaned containers.",Unpacking Reuse in Asia: A Brief Report,https://plasticsmartcities.org/wp-content/uploads/2025/04/Upacking-Reuse-in-Asia.pdf,refill,Use for the main category tooltip.
main-product-reuse,main,Product Reuse,,Product Reuse,"Systems that keep durable goods in use longer through repeated use, repair, rental, sharing, refurbishment, or resale.",adapted,"Adapted from GAIA zero waste framing that prioritizes waste reduction, reuse, repair, recycling, and composting, and from broader product reuse language.",ZERO WASTE AND ECONOMIC RECOVERY,https://www.no-burn.org/wp-content/uploads/Jobs-Report-ENGLISH-1.pdf,productReuse,"Microsite taxonomy adaptation, not a direct named category in the cited packaging reuse report."
main-reusable-product-alternatives,main,Use of Reusable Product Alternatives,,Use of Reusable Product Alternatives,"Durable alternatives that replace disposable items and are designed to be washed, maintained, and reused many times.",adapted,"Adapted from GAIA examples on reusable tableware, containers, and zero waste practices that prioritize reuse and repair over disposal.",Unpacking Reuse in Asia: A Brief Report,https://plasticsmartcities.org/wp-content/uploads/2025/04/Upacking-Reuse-in-Asia.pdf,reusableProductAlternatives,"Use when the taxonomy focuses on alternatives to disposable products, not packaging formats alone."
main-transfer-based-reuse,main,Transfer-based Reuse,,Transfer-based Reuse,"Systems where reusable goods move from one user to another through lending, donation, swapping, resale, or take-back arrangements.",adapted,"Adapted from GAIA zero waste framing on reuse, repair, and recovery of products, packaging, and materials.",Beyond Recycling: On the Road to Zero Waste,https://www.no-burn.org/beyond-recycling-on-the-road-to-zero-waste/,transferBasedReuse,Microsite taxonomy adaptation; best used for exchange or ownership-transfer models.
sub-pre-filled-reuse-systems,sub-category,Packaging Reuse,Pre-filled Reuse Systems,Pre-filled Reuse Systems,"Products are sold in reusable packaging that is already filled, then returned, cleaned, and refilled for the next use cycle.",adapted,"Adapted from GAIA return-system framing where service providers collect, wash, redistribute, and refill packaging for re-consumption.",Unpacking Reuse in Asia: A Brief Report,https://plasticsmartcities.org/wp-content/uploads/2025/04/Upacking-Reuse-in-Asia.pdf,preFilledReuseSystems,Equivalent to return/pre-filled packaging logic; avoid presenting as consumer refill.
sub-onsite-reuse-systems,sub-category,Packaging Reuse,Onsite Reuse Systems,Onsite Reuse Systems,"Reusable packaging or items are used and returned within the same location, such as offices, canteens, venues, or dine-in spaces.",adapted,Adapted from GAIA case categories on onsite dining and reusable tableware/container systems used in closed or semi-closed settings.,Unpacking Reuse in Asia: A Brief Report,https://plasticsmartcities.org/wp-content/uploads/2025/04/Upacking-Reuse-in-Asia.pdf,onsiteReuseSystems,"Use for controlled settings where return, washing, and reuse happen onsite or through a site-managed system."
sub-takeaway-delivery-reuse-systems,sub-category,Packaging Reuse,Takeaway & Delivery Reuse Systems,Takeaway & Delivery Reuse Systems,"Reusable containers are used for takeout or delivery, then returned later through pick-up, drop-off, or partner return points.",direct/adapted,"GAIA includes reusable tableware and containers for food and beverage takeaway, with return points, drop-off cabinets, washing, and redistribution.",Unpacking Reuse in Asia: A Brief Report,https://plasticsmartcities.org/wp-content/uploads/2025/04/Upacking-Reuse-in-Asia.pdf,takeawayDeliveryReuseSystems,"Use for food delivery, takeout, self-pickup, or partner-return reusable packaging models."
sub-serveware-reuse-system,sub-category,Packaging Reuse,Serveware Reuse System,Serveware Reuse System,"Reusable plates, bowls, cups, cutlery, and other tableware replace disposable serveware for meals, meetings, gatherings, or events.",direct/adapted,"GAIA case studies include crockery banks, reusable tableware for events, and reusable tableware/container systems for onsite dining.",Unpacking Reuse in Asia: A Brief Report,https://plasticsmartcities.org/wp-content/uploads/2025/04/Upacking-Reuse-in-Asia.pdf,servewareReuseSystem,"Use for event kits, crockery/cutlery banks, reusable dine-in ware, and similar systems."
sub-secondary-packaging-reuse-systems,sub-category,Packaging Reuse,Secondary Packaging Reuse Systems,Secondary Packaging Reuse Systems,"Reusable boxes, crates, bags, pallets, or transport packaging circulate between suppliers, retailers, delivery partners, and customers.",adapted,"Adapted from GAIA reuse-system framing on logistics, collection, cleaning, redistribution, and supply-chain collaboration.",Unpacking Reuse in Asia: A Brief Report,https://plasticsmartcities.org/wp-content/uploads/2025/04/Upacking-Reuse-in-Asia.pdf,secondaryPackagingReuseSystems,"Use for business-to-business or transport packaging, not the primary container directly holding the product."
